id;kat;kat_de;kat_en;kat_sub_de;kat_sub_en;name;strasse;plz;gemeinde;landkreis;stellplaetze;emob;linien;website;phone;betreiber;oeffnungszeiten;vbn;x_wgs84;y_wgs84;haltestelle
BR200000004;8;Bike+Ride;Bike+Ride;"";"";Quakenbrück B+R Anlage 04 Südwest;;49610;Quakenbrück;Landkreis Osnabrück;64;f;RE18;;;;;f;7.94798806678188;52.6736643171745;
BR200000005;8;Bike+Ride;Bike+Ride;"";"";Bremerhaven-Lehe B+R-Anlage 04 Südost Sammelschließ;Bürgermeister-Kirschbaum-Platz;27580;Bremerhaven;Bremerhaven;60;t;RB33,RE9,RS2;;;Magistrat Stadt Bremerhaven, Amt für Straßen- und Brückenbau;;f;8.60033886655166;53.5661807973372;
BR200000135;8;Bike+Ride;Bike+Ride;"";"";Nordenham B+R Anlage Vorplatz Süd 03;Deichgräfenstraße;99999;Nordenham;Landkreis Wesermarsch;45;f;RS4;;;Stadt Nordenham;;f;8.48727420823326;53.484297163884;
BR200000212;8;Bike+Ride;Bike+Ride;"";"";Sellstedt B+R Anlage 02 Sammelschließanlage;;99999;Schiffdorf;Landkreis Cuxhaven;20;f;RB33;;;Gemeinde Schiffdorf;;f;8.72295300657783;53.5156155097744;
BR200000213;8;Bike+Ride;Bike+Ride;"";"";Wehdel B+R Anlage 02 Sammelschließanlage;;99999;Schiffdorf;Landkreis Cuxhaven;20;f;RB33;;;Gemeinde Schiffdorf;;f;8.8071719985422;53.5121751111658;
BR200000260;8;Bike+Ride;Bike+Ride;"";"";Etelsen B+R Anlage 05 Nord Sammelschließanlage;;99999;Langwedel;Landkreis Verden;28;f;RE1,RE8,RS1;;;;;f;9.12432475605852;52.9993832260183;
BR200000334;8;Bike+Ride;Bike+Ride;"";"";Bremen Hbf B+R ADFC Südwest 01;Beim Handelsmuseum;28195;Bremen;Bremen;1100;f;IC 30,IC 56,ICE,RB37,RB58,RE1,RE19,RE8,RE9,RS1,RS2,RS3,RS4;;;ADFC Geschäftsstelle\r\nhttp://www.adfc-bremen.de/adfc-radstation.html;;f;8.81229752962604;53.0833165218824;
BR200000335;8;Bike+Ride;Bike+Ride;"";"";Bremen Hbf B+R ADFC Nordwest 02;Willy-Brandt-Platz;28195;Bremen;Bremen;500;f;IC 30,IC 56,ICE,RB37,RB58,RE1,RE19,RE8,RE9,RS1,RS2,RS3,RS4;;;ADFC Geschäftsstelle\r\nhttp://www.adfc-bremen.de/adfc-radstation.html;;f;8.81448690035519;53.0843443151633;
BR200000338;8;Bike+Ride;Bike+Ride;"";"";Bremerhaven Hbf B+R Anlage Ost 01;Friedrich-Ebert-Straße;27570;Bremerhaven;Bremerhaven;31;f;RB33,RE8,RE9,RS2;;;;;f;8.59881189618513;53.5355833358213;
BR200000339;8;Bike+Ride;Bike+Ride;"";"";Bremerhaven Hbf B+R Anlage Nordost 02;Friedrich-Ebert-Straße;27570;Bremerhaven;Bremerhaven;120;f;RB33,RE8,RE9,RS2;;;;;f;8.59866167195959;53.5355199369137;
BR200000342;8;Bike+Ride;Bike+Ride;"";"";Bremerhaven Hbf B+R Anlage Nord 05;Friedrich-Ebert-Straße;27570;Bremerhaven;Bremerhaven;104;f;RB33,RE8,RE9,RS2;;;;;f;8.5985530448419;53.5358430361388;
BR200000343;8;Bike+Ride;Bike+Ride;"";"";Bremerhaven Hbf B+R Anlage Ost 06;Friedrich-Ebert-Straße;27570;Bremerhaven;Bremerhaven;20;f;RB33,RE8,RE9,RS2;;;;;f;8.59864514803491;53.5356726280854;
BR200000345;8;Bike+Ride;Bike+Ride;"";"";Delmenhorst B+R Anlage Süd 01;Wittekindstraße;27749;Delmenhorst;Delmenhorst;144;f;IC 56,RB58,RE1,RE19,RS3,RS4;;;;;f;8.63045500080498;53.0526145521006;
BR200000346;8;Bike+Ride;Bike+Ride;"";"";Delmenhorst B+R Anlage Ost 02;Wittekindstraße;27749;Delmenhorst;Delmenhorst;15;f;IC 56,RB58,RE1,RE19,RS3,RS4;;;;;f;8.63127036043646;53.052624895066;
BR200000347;8;Bike+Ride;Bike+Ride;"";"";Delmenhorst B+R Anlage Südwest 03;Wittekindstraße;27753;Delmenhorst;Delmenhorst;35;f;IC 56,RB58,RE1,RE19,RS3,RS4;;;;;f;8.62926882425848;53.0525610869471;
BR200000348;8;Bike+Ride;Bike+Ride;"";"";Delmenhorst B+R Anlage Nord 05;Weberstraße;27753;Delmenhorst;Delmenhorst;144;f;IC 56,RB58,RE1,RE19,RS3,RS4;;;;;f;8.62910074582029;53.0529447971595;
BR200000349;8;Bike+Ride;Bike+Ride;"";"";Delmenhorst B+R Anlage Südost 04;Wittekindstraße;27753;Delmenhorst;Delmenhorst;60;f;IC 56,RB58,RE1,RE19,RS3,RS4;;;;;f;8.63097373396852;53.0526604593874;
BR200000351;8;Bike+Ride;Bike+Ride;"";"";Leer(Ostfriesl) B+R Anlage 01 Nord;Bahnhofsring;26789;Leer;Landkreis Leer;112;f;IC 35,IC 56,RB57,RE1,RE15;;;;;f;7.46496775893022;53.2318504104606;
BR200000352;8;Bike+Ride;Bike+Ride;"";"";Leer(Ostfriesl) B+R Anlage 02 Süd;Bahnhofsring;26789;Leer;Landkreis Leer;99;f;IC 35,IC 56,RB57,RE1,RE15;;;;;f;7.46497989925134;53.2306733487639;
BR200000353;8;Bike+Ride;Bike+Ride;"";"";Oldenburg Hbf B+R Anlage Südost 01;Bahnhofsplatz;26122;Oldenburg;Oldenburg;1000;f;IC 56,RE1,RE18,RE19,RS3;;;;;f;8.22325185256261;53.1432591108756;
BR200000354;8;Bike+Ride;Bike+Ride;"";"";Oldenburg Hbf B+R Anlage Nord 02;Willy-Brandt-Platz;26122;Oldenburg;Oldenburg;500;f;IC 56,RE1,RE18,RE19,RS3;;;;;f;8.22213214022185;53.1448512892088;
BR200000361;8;Bike+Ride;Bike+Ride;"";"";Osnabrück Hbf B+R Anlage West 03;Theodor-Heuss-Platz;49074;Osnabrück;Osnabrück;900;f;IC 30,IC 77,RB58,RB61,RB66,RB75,RE18,RE60,RE9;;;;;f;8.05897764342992;52.2734302837766;
BR200000362;8;Bike+Ride;Bike+Ride;"";"";Quakenbrück B+R Anlage Süd 01;Wilhelmstraße;49610;Quakenbrück;Landkreis Osnabrück;26;f;RE18;;;;;f;7.94882720089663;52.6735296778459;
BR200000363;8;Bike+Ride;Bike+Ride;"";"";Quakenbrück B+R Anlage Nord 02;Am Bahnhof;49610;Quakenbrück;Landkreis Osnabrück;96;f;RE18;;;;;f;7.94820068704423;52.6743778622859;
BR200000364;8;Bike+Ride;Bike+Ride;"";"";Rotenburg (W) B+R Anlage 01 Südwest;Am Bahnhof;27356;Rotenburg;Landkreis Rotenburg (Wümme);344;f;RB41,RB76,RE4;;;;;f;9.39114175271624;53.1122748702929;
BR200000365;8;Bike+Ride;Bike+Ride;"";"";Rotenburg (W) B+R Anlage 02 West Boxen;Am Bahnhof;27356;Rotenburg;Landkreis Rotenburg (Wümme);64;f;RB41,RB76,RE4;;;;;f;9.39091368049852;53.112238240014;
BR200000367;8;Bike+Ride;Bike+Ride;"";"";Rotenburg (W) B+R Anlage 04 Südost Sammelschließ;Am Bahnhof;27356;Rotenburg;Landkreis Rotenburg (Wümme);26;f;RB41,RB76,RE4;;;;;f;9.39218106514923;53.1123648970646;
